type,label,number,number_index,assembly,bin
0,[0 0 0 0 0 0 0 0],0,0,[],2000
1,[0 0 0 0 0 0 0 1],1,1,[1],2000
1,[0 0 0 0 0 0 1 0],2,2,[2],2000
1,[0 0 0 0 0 1 0 0],4,3,[4],2000
1,[0 0 0 0 1 0 0 0],8,4,[8],2000
1,[0 0 0 1 0 0 0 0],16,6,[16],2000
1,[0 0 1 0 0 0 0 0],32,10,[32],2000
1,[0 1 0 0 0 0 0 0],64,14,[64],2000
1,[1 0 0 0 0 0 0 0],128,26,[128],2000
2,[0 0 0 0 1 0 1 0],10,5,"[2, 8]",2000
2,[0 0 0 1 0 0 1 0],18,7,"[2, 16]",2000
2,[0 0 0 1 1 0 0 0],24,8,"[8, 16]",2000
2,[0 0 1 0 0 0 1 0],34,11,"[2, 32]",2000
2,[0 0 1 0 1 0 0 0],40,12,"[8, 32]",2000
2,[0 1 0 0 0 0 1 0],66,15,"[2, 64]",2000
2,[0 1 0 0 1 0 0 0],72,16,"[8, 64]",2000
2,[0 1 0 1 0 0 0 0],80,18,"[16, 64]",2000
2,[0 1 1 0 0 0 0 0],96,22,"[32, 64]",2000
2,[1 0 0 0 0 0 1 0],130,27,"[2, 128]",2000
2,[1 0 0 0 1 0 0 0],136,28,"[8, 128]",2000
2,[1 0 0 1 0 0 0 0],144,30,"[16, 128]",2000
2,[1 0 1 0 0 0 0 0],160,34,"[32, 128]",2000
3,[0 0 0 1 1 0 1 0],26,9,"[2, 8, 16]",2000
3,[0 0 1 0 1 0 1 0],42,13,"[2, 8, 32]",2000
3,[0 1 0 0 1 0 1 0],74,17,"[2, 8, 64]",2000
3,[0 1 0 1 0 0 1 0],82,19,"[2, 16, 64]",2000
3,[0 1 0 1 1 0 0 0],88,20,"[8, 16, 64]",2000
3,[0 1 1 0 0 0 1 0],98,23,"[2, 32, 64]",2000
3,[0 1 1 0 1 0 0 0],104,24,"[8, 32, 64]",2000
3,[1 0 0 0 1 0 1 0],138,29,"[2, 8, 128]",2000
3,[1 0 0 1 0 0 1 0],146,31,"[2, 16, 128]",2000
3,[1 0 0 1 1 0 0 0],152,32,"[8, 16, 128]",2000
3,[1 0 1 0 0 0 1 0],162,35,"[2, 32, 128]",2000
3,[1 0 1 0 1 0 0 0],168,36,"[8, 32, 128]",2000
4,[0 1 0 1 1 0 1 0],90,21,"[2, 8, 16, 64]",2000
4,[0 1 1 0 1 0 1 0],106,25,"[2, 8, 32, 64]",2000
4,[1 0 0 1 1 0 1 0],154,33,"[2, 8, 16, 128]",2000
4,[1 0 1 0 1 0 1 0],170,37,"[2, 8, 32, 128]",2000
